,BikeTypeCat,AgeBandCat,IncomeBandCat,MaritalStatusCat,OccupationCat,CommuteDistanceCat,GenderCat,ChildrenAtHomeCat,CountryRegionCodeCat,HouseOwnerFlagCat,EducationCat
0,1,5,1,1,1,2,1,0,1,1,0
1,0,3,0,1,2,0,0,1,3,0,2
2,0,5,0,1,3,2,0,0,5,1,2
3,1,5,1,0,1,1,1,0,5,1,1
4,0,3,1,1,3,4,0,0,0,0,0
5,1,3,2,0,3,4,1,1,5,1,2
6,1,2,1,1,3,2,1,0,0,0,0
7,0,3,1,1,3,4,1,0,0,1,0
8,0,4,1,0,3,2,1,1,0,1,0
9,1,3,3,1,1,1,1,0,5,0,1
10,1,3,2,1,1,3,0,1,5,1,0
11,1,2,0,0,4,1,1,1,4,1,0
12,1,4,1,1,4,1,0,0,0,0,3
13,1,2,0,0,2,3,0,1,0,1,2
14,1,4,1,1,3,0,0,1,5,0,3
15,1,5,0,0,0,0,0,0,2,1,0
16,1,3,1,1,4,3,0,1,5,0,4
17,1,4,3,0,1,0,0,1,4,1,0
18,1,4,0,0,1,4,1,0,0,1,0
19,1,2,0,0,0,0,1,0,0,1,0
20,1,4,1,1,4,0,0,0,0,0,3
21,1,5,1,1,1,4,1,0,5,1,1
22,1,3,1,0,3,4,1,0,5,1,2
23,1,4,2,0,3,4,0,1,2,1,2
24,1,5,3,0,1,2,1,1,4,0,0
25,1,5,2,0,3,4,1,1,4,1,3
26,1,2,0,1,4,1,0,0,5,0,3
27,1,2,0,0,2,3,0,1,0,1,2
28,1,4,2,0,3,4,0,1,2,1,3
29,1,3,1,0,4,3,1,1,5,1,0
30,1,2,1,0,3,2,1,0,0,1,0
31,1,4,1,0,4,4,0,0,5,1,4
32,0,4,2,1,1,0,0,1,4,0,0
33,0,5,0,0,4,2,1,0,5,1,4
34,1,3,2,1,1,2,0,1,0,1,2
35,0,5,0,0,0,1,1,1,0,1,4
36,1,4,1,1,3,0,1,0,5,0,0
37,1,4,1,0,3,4,1,0,5,1,2
38,1,2,0,0,2,3,0,1,0,1,2
39,0,3,1,0,3,3,1,1,0,1,0
40,1,4,2,0,3,4,0,1,2,0,3
41,1,2,0,1,2,0,0,0,3,0,4
42,1,3,1,0,4,0,1,0,4,0,1
43,1,2,0,1,0,0,1,0,0,1,0
44,1,5,1,1,1,1,1,0,5,0,1
45,1,4,3,1,1,0,0,1,4,0,0
46,0,3,1,0,3,0,1,1,0,1,0
47,1,3,1,1,3,2,0,0,0,1,0
48,1,2,0,1,2,1,1,0,0,1,3
49,1,2,1,1,3,2,1,0,0,0,0
50,1,4,1,1,3,0,1,0,5,0,3
51,1,4,1,1,3,2,0,1,5,0,3
52,1,4,2,0,3,4,0,1,5,1,3
53,1,4,0,1,0,0,0,1,3,1,3
54,1,2,0,1,2,3,1,0,3,0,2
55,1,4,2,1,3,4,1,1,2,1,2
56,1,5,0,0,0,4,0,0,0,0,3
57,1,2,1,1,3,4,0,0,5,0,3
58,1,3,1,1,1,1,0,0,5,0,1
59,1,5,3,1,1,0,1,1,4,0,2
60,0,5,0,1,4,4,0,0,0,1,2
61,1,4,2,1,1,3,1,1,5,0,0
62,1,4,2,0,3,0,1,1,2,1,3
63,1,4,1,1,4,4,0,0,0,1,3
64,1,5,0,0,4,4,0,0,0,1,3
65,1,4,1,0,3,3,0,0,5,1,0
66,1,2,0,0,0,0,0,0,0,0,0
67,1,2,1,1,3,2,0,0,0,0,0
68,0,3,1,1,3,4,0,0,0,0,0
